ID,W,G,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,BBHBP,SF,Outs,Outsinplay,RA,BA,OBA,SLG,OPS
129,77,162,793,5567,1480,1017,253,23,187,594,1030,167,68,0,594,0,4087,3057,787,0.265852344,0.336633663,0.420334112,0.756967775
131,67,161,634,5483,1358,896,295,32,135,540,1312,138,40,68,608,40,4125,2813,757,0.247674631,0.320665471,0.387014408,0.707679879
133,85,163,736,5470,1386,956,247,37,146,471,843,108,56,0,471,0,4084,3241,720,0.253382084,0.312573641,0.39213894,0.70471258
135,81,162,680,5530,1405,968,263,60,114,515,839,187,72,0,515,0,4125,3286,650,0.254068716,0.317617866,0.38517179,0.702789656
137,101,162,770,5528,1505,1091,259,45,110,542,793,127,70,0,542,0,4023,3230,557,0.272250362,0.33723229,0.395079595,0.732311885
139,64,162,587,5410,1319,974,227,30,88,529,887,98,81,0,529,0,4091,3204,663,0.243807763,0.311163496,0.345656192,0.656819688
141,67,143,673,4886,1278,891,214,29,144,517,916,131,53,0,517,0,3608,2692,673,0.261563651,0.332222839,0.405648792,0.737871632
143,89,163,845,5628,1540,1061,292,26,161,678,1040,102,51,0,678,0,4088,3048,739,0.273631841,0.351728513,0.420575693,0.772304205
145,69,163,650,5493,1395,982,271,35,107,393,1060,159,51,0,393,0,4098,3038,718,0.253959585,0.303771662,0.374476607,0.678248268
147,86,162,656,5436,1365,918,259,27,161,464,1192,88,28,40,504,39,4071,2879,626,0.251103753,0.312594079,0.397534952,0.710129031
149,81,162,738,5625,1521,1117,240,44,120,598,954,87,46,0,598,0,4104,3150,692,0.2704,0.340511008,0.392711111,0.733222119
151,97,159,730,5555,1496,1109,231,36,120,470,616,163,65,0,470,0,4059,3443,575,0.269306931,0.326307054,0.388658866,0.71496592
153,80,162,686,5496,1451,989,319,29,114,508,871,73,38,0,508,0,4045,3174,698,0.264010189,0.326282478,0.394832606,0.721115084
155,79,162,817,5565,1520,992,303,11,214,593,903,86,48,0,593,0,4045,3142,785,0.273135669,0.343130887,0.44690027,0.790031156
157,89,162,613,5364,1331,933,240,41,117,554,814,87,54,0,554,0,4033,3219,594,0.24813572,0.31851977,0.37360179,0.69212156
159,72,162,579,5364,1306,996,202,20,88,416,882,160,101,0,416,0,4058,3176,671,0.243475019,0.297923875,0.337807606,0.635731482
161,66,162,682,5650,1499,1132,229,26,112,528,980,126,76,0,528,0,4151,3171,807,0.265309735,0.328099709,0.374513274,0.702612983
163,96,162,768,5497,1398,881,317,24,176,556,898,48,14,59,615,53,4099,3201,643,0.254320538,0.326520681,0.416772785,0.743293466
165,66,162,613,5554,1440,1022,264,21,133,424,1056,76,34,54,478,45,4114,3058,785,0.259272596,0.315616258,0.386208138,0.701824396
167,88,162,759,5502,1468,1014,281,31,142,495,1089,149,58,0,495,0,4034,2945,706,0.266812068,0.327330332,0.406579426,0.733909757
169,69,161,747,5428,1401,941,284,24,152,641,834,135,68,0,641,0,4027,3193,829,0.258106116,0.336463997,0.403279293,0.73974329
171,77,163,639,5610,1429,1048,242,33,106,442,767,119,60,0,442,0,4181,3414,609,0.254723708,0.309153999,0.36631016,0.675464159
173,69,162,733,5525,1426,1036,240,25,125,555,932,138,93,0,555,0,4099,3167,792,0.258099548,0.325822368,0.378461538,0.704283907
175,75,162,713,5617,1482,1034,286,36,126,508,1080,97,45,0,508,0,4135,3055,808,0.263841908,0.324897959,0.394872708,0.719770667
177,85,162,748,5518,1409,941,228,29,211,461,1203,109,43,65,526,36,4109,2906,676,0.25534614,0.318256579,0.42189199,0.740148569
179,69,162,699,5507,1408,955,289,34,130,466,986,102,47,48,514,37,4099,3113,751,0.255674596,0.317266425,0.391320138,0.708586563
181,95,162,682,5502,1434,1051,226,28,129,539,846,136,58,0,539,0,4068,3222,579,0.260632497,0.326601556,0.382224646,0.708826202
183,95,161,807,5536,1552,1035,291,41,185,549,745,100,53,0,549,0,3984,3239,722,0.280346821,0.345275267,0.447976879,0.793252146
185,87,161,871,5556,1541,1017,294,25,205,631,1007,99,48,57,688,50,4015,3008,814,0.277357811,0.354146806,0.449964003,0.804110809
187,57,161,568,5436,1340,981,251,28,80,514,842,110,60,0,514,0,4096,3254,708,0.246504783,0.311596639,0.347130243,0.658726881
189,83,162,631,5594,1464,1064,262,44,94,495,996,208,118,0,495,0,4130,3134,604,0.261708974,0.321727706,0.374687165,0.696414871
191,84,162,883,5642,1580,1017,337,14,212,578,1077,119,48,0,578,0,4062,2985,862,0.280042538,0.346945338,0.457461893,0.804407231
193,94,162,718,5560,1476,1002,302,38,134,519,1246,138,50,61,580,43,4084,2838,617,0.265467626,0.332524664,0.405755396,0.73828006
195,85,162,669,5575,1411,962,284,23,142,504,1189,104,27,42,546,49,4164,2975,653,0.25309417,0.317179903,0.388699552,0.705879454
197,96,162,803,5570,1503,984,304,37,178,587,1158,86,32,59,646,48,4067,2909,668,0.26983842,0.34307152,0.433572711,0.776644231
199,78,162,760,5508,1499,1008,282,48,161,500,863,174,73,0,500,0,4009,3146,801,0.272149601,0.332723036,0.428467683,0.761190719
201,83,162,735,5479,1432,934,300,36,162,575,1104,118,64,46,621,42,4047,2943,718,0.261361562,0.334255943,0.417959482,0.752215424
203,67,162,639,5517,1425,999,255,46,125,443,862,85,67,0,443,0,4092,3230,765,0.25829255,0.313422819,0.389160776,0.702583595
205,71,162,746,5618,1515,1054,267,47,147,445,1069,97,48,0,445,0,4103,3034,779,0.269668921,0.323272307,0.41242435,0.735696658
207,96,162,773,5614,1514,1025,264,28,197,530,1032,83,43,0,530,0,4100,3068,648,0.269682936,0.332682292,0.431955825,0.764638116
209,68,161,782,5559,1486,962,322,30,172,533,990,81,37,42,575,48,4073,3083,869,0.267314265,0.333387253,0.42885411,0.762241364
